TIMESTAMP,datetime_mst,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,WS_ms_Avg,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,BP_mbar_Avg,SWin_Avg,SWout_Avg,LWin_Avg,LWout_Avg,SWnet_Avg,LWnet_Avg,SWalbedo_Avg,NR_Avg,VWC_5cm_Avg,Ka_5cm_Avg,T_5cm_Avg,BulkEC_5cm_Avg,VWC_10cm_Avg,Ka_10cm_Avg,T_10cm_Avg,BulkEC_10cm_Avg,VWC_20cm_Avg,Ka_20cm_Avg,T_20cm_Avg,BulkEC_20cm_Avg,VWC_30cm_Avg,Ka_30cm_Avg,T_30cm_Avg,BulkEC_30cm_Avg,VWC_40cm_Avg,Ka_40cm_Avg,T_40cm_Avg,BulkEC_40cm_Avg,VWC_50cm_Avg,Ka_50cm_Avg,T_50cm_Avg,BulkEC_50cm_Avg
1/13/2021 23:00,1/13/2021 16:00,0,13.44,-1.759,72.1,1.743,185.7,1.737,0.763,2.803,222.9,2.803,224.7,32.2,21.39013,25.5,17.8,274.8,299,7.691,-24.64,0.707,-16.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 0:00,1/13/2021 17:00,1,13.1,-2.187,73.21,1.759,190.4,1.752,0.748,1.822,264.8,1.822,214.3,36.63,705.8648,7.425,4.925,288.7,298.3,2.497,-9.84,0.538,-7.346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 1:00,1/13/2021 18:00,2,13.05,-2.316,73.37,1.76,190.5,1.752,0.748,1.473,233.9,1.473,225.9,65.26,705.2841,-0.182,-0.002,292.3,298.3,-0.185,-6.715,0.076,-6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 2:00,1/13/2021 19:00,3,13.01,-2.61,74.41,1.761,190.7,1.753,0.747,1.739,231.7,1.739,210.8,58.07,704.5463,-0.24,-0.002,292.4,297.6,-0.237,-6.284,0.01,-6.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 3:00,1/13/2021 20:00,4,12.99,-2.618,72.77,1.761,189.5,1.752,0.748,2.685,322.7,2.685,214.4,45.3,703.6209,-0.219,-0.002,291.5,297.5,-0.215,-6.804,0.008,-7.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 4:00,1/13/2021 21:00,5,12.96,-3.664,90.7,1.764,189.4,1.752,0.748,3.726,168.1,3.726,225.4,47.03,702.1346,-0.248,-0.002,292,296.5,-0.243,-4.274,0.005,-4.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 5:00,1/13/2021 22:00,6,12.93,-4.945,82.9,1.774,186.9,1.758,0.742,3.597,67.7,3.597,231.9,50.46,700.8516,-0.142,-0.001,288.1,293.2,-0.144,-4.077,-0.044,-4.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 6:00,1/13/2021 23:00,7,12.9,-6.255,63.78,1.791,185.9,1.771,0.729,2.535,207.2,2.535,233.5,72.5,700.4186,-0.731,0.002,250.2,280.3,-0.732,-29.38,-0.002,-30.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 7:00,1/14/2021 0:00,8,12.86,-8.48,67.71,1.802,184.8,1.774,0.726,2.641,190.4,2.641,253.9,53.45,701.8161,-0.441,-0.002,257.2,274.1,-0.437,-16.15,0.005,-16.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 8:00,1/14/2021 1:00,9,12.82,-10.05,75.46,1.812,191.2,1.778,0.722,2.437,20.26,2.437,255.9,53.29,702.218,-0.326,-0.002,259.4,270.7,-0.326,-10.1,0.008,-10.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 9:00,1/14/2021 2:00,10,12.79,-11.13,69.69,1.819,190.8,1.781,0.719,2.836,218.5,2.836,251.3,59.1,703.5638,-0.512,0.004,239.6,263.9,-0.516,-24.3,-0.009,-24.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 10:00,1/14/2021 3:00,11,12.75,-11.94,78.62,1.823,191.3,1.782,0.718,1.976,202.4,1.976,258.2,76.01,704.0852,-0.265,-0.002,252.9,263.3,-0.269,-10.28,0.007,-10.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 11:00,1/14/2021 4:00,12,12.72,-12.42,67.83,1.826,190.2,1.784,0.716,1.631,242.9,1.631,288.1,70.52,704.4529,-0.352,0,245.3,260.6,-0.35,-15.16,0.004,-15.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 12:00,1/14/2021 5:00,13,12.7,-13.16,69.55,1.829,190.6,1.784,0.716,1.378,179.5,1.378,272.8,72.16,704.809,-0.316,-0.003,244.9,258.2,-0.314,-12.06,0.007,-12.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/14/2021 13:00,1/14/2021 6:00,14,12.67,-14.05,71.8,1.832,190.6,1.784,0.716,1.406,263,1.406,237.7,45.09,705.4724,-0.314,-0.001,242.7,255.6,-0.309,-11.55,0.005,-11.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
