DateTime,Ta_C,RH ,e_kPa,Rn_Wm2,u_ms,udir,Snow_m,Rs_in,Rs_out,Rl_in,Rl_out,Rs_net,Rl_net,albedo,Rn
7/18/2019 14:00,26.46,0.153,0.53,812,0,0,0.001,,,,,,,,
7/18/2019 15:00,27.58,0.166,0.613,665.8,1.067,246.6,0.002,,,,,,,,
7/18/2019 16:00,26.75,0.195,0.685,571.6,1.898,275.2,0.003,,,,,,,,
7/18/2019 17:00,25.87,0.177,0.591,370.5,1.815,266.9,0.003,,,,,,,,
7/18/2019 18:00,25.23,0.17,0.547,229.1,1.512,272.1,0.001,,,,,,,,
7/18/2019 19:00,23.97,0.173,0.515,13.13,1.196,256,0.005,,,,,,,,
7/18/2019 20:00,21.97,0.186,0.491,-90.1,0.77,275.5,0.004,,,,,,,,
7/18/2019 21:00,13.58,0.407,0.632,-103.8,0.036,236.2,0.005,,,,,,,,
7/18/2019 22:00,11.32,0.405,0.543,-96,0.164,119.7,0.014,,,,,,,,
7/18/2019 23:00,9.65,0.472,0.566,-92,0.345,195.6,0.014,,,,,,,,
7/19/2019 0:00,11.1,0.35,0.462,-82.4,0.168,130.3,0.014,,,,,,,,
7/19/2019 1:00,15.03,0.262,0.448,-87.8,0.455,215.6,0.008,,,,,,,,
7/19/2019 2:00,16.21,0.226,0.417,-95.5,0.912,223.4,0.004,,,,,,,,
7/19/2019 3:00,15.58,0.237,0.419,-87.8,0.552,239.8,0.001,,,,,,,,
7/19/2019 4:00,15.86,0.215,0.388,-86.1,0.771,235.7,0.002,,,,,,,,
7/19/2019 5:00,14.53,0.243,0.402,-84.7,0.162,199.6,-0.003,,,,,,,,
7/19/2019 6:00,15.45,0.23,0.403,-80.5,0.369,206.9,-0.002,,,,,,,,
7/19/2019 7:00,14.72,0.282,0.472,-63.11,0.306,222.9,0.001,,,,,,,,
7/19/2019 8:00,17.85,0.27,0.552,-45.09,0.504,183.3,-0.002,,,,,,,,
7/19/2019 9:00,21.35,0.227,0.577,-84.5,0.844,221.8,0.002,,,,,,,,
7/19/2019 10:00,23.61,0.192,0.56,367.3,1.271,228.7,0.002,,,,,,,,
7/19/2019 11:00,25.61,0.171,0.561,759.9,1.026,244.9,0.003,,,,,,,,
7/19/2019 12:00,25.59,0.161,0.528,798.8,2.333,275.3,0.005,,,,,,,,
7/19/2019 13:00,27.88,0.148,0.555,818,0.903,216.9,0.004,,,,,,,,
7/19/2019 14:00,27.74,0.141,0.525,762.7,0.67,236.1,0.004,,,,,,,,
7/19/2019 15:00,28.4,0.159,0.615,686.3,1.222,248.2,0.003,,,,,,,,
7/19/2019 16:00,29.13,0.149,0.602,598.5,1.128,211.5,0.002,,,,,,,,
7/19/2019 17:00,28.03,0.155,0.588,438.1,1.001,227.9,0.004,,,,,,,,
7/19/2019 18:00,27.19,0.129,0.465,222.9,1.601,269.2,0.006,,,,,,,,
7/19/2019 19:00,25.69,0.21,0.691,11.44,1.563,290.8,-0.001,,,,,,,,
7/19/2019 20:00,24.24,0.24,0.727,-96.6,0.025,205.8,-0.006,,,,,,,,
7/19/2019 21:00,17.2,0.353,0.693,-102.8,0.109,110.9,0.001,,,,,,,,
7/19/2019 22:00,12.76,0.485,0.714,-82.8,0.562,120.4,0.003,,,,,,,,
7/19/2019 23:00,15.81,0.34,0.61,-66.26,0.54,177.2,0.002,,,,,,,,
7/20/2019 0:00,16.55,0.316,0.594,-88.1,0.597,182.2,0,,,,,,,,
7/20/2019 1:00,14.89,0.343,0.581,-84.9,0.485,165.2,0.002,,,,,,,,
