DateTime,Ta_C,RH ,e_kPa,Rn_Wm2,u_ms,udir,Snow_m,Rs_in,Rs_out,Rl_in,Rl_out,Rs_net,Rl_net,albedo,Rn
12/16/2020 0:00,-9.74,0.587,0.172,-73.8,2.721,196.5,0.029,,,,,,,,
12/16/2020 1:00,-10.14,0.632,0.179,-67.33,2.543,232.8,0.029,,,,,,,,
12/16/2020 2:00,-9.16,0.608,0.186,-76.28,2.449,209.3,0.027,,,,,,,,
12/16/2020 3:00,-9.46,0.627,0.187,-70.07,2.177,240.7,0.028,,,,,,,,
12/16/2020 4:00,-8.49,0.587,0.189,-60.91,2.784,210.5,0.029,,,,,,,,
12/16/2020 5:00,-8.58,0.613,0.196,-45.42,2.731,211.5,0.034,,,,,,,,
12/16/2020 6:00,-8.92,0.66,0.206,-61.94,3.581,201.8,0.035,,,,,,,,
12/16/2020 7:00,-8.75,0.64,0.202,-73.18,2.235,226.3,0.035,,,,,,,,
12/16/2020 8:00,-8.46,0.651,0.21,-47.73,2.441,233.3,0.035,,,,,,,,
12/16/2020 9:00,-7.575,0.613,0.212,-55.51,3.809,275.4,0.035,,,,,,,,
12/16/2020 10:00,-7.157,0.643,0.23,-36.33,1.574,264.5,0.035,,,,,,,,
12/16/2020 11:00,-5.227,0.539,0.223,-93,2.424,235,0.034,,,,,,,,
12/16/2020 12:00,-5.015,0.53,0.223,88.7,2.492,235,0.034,,,,,,,,
12/16/2020 13:00,-4.756,0.51,0.219,143.9,2.666,205,0.033,,,,,,,,
12/16/2020 14:00,-5.782,0.588,0.233,-26.28,2.64,226.3,0.033,,,,,,,,
12/16/2020 15:00,-6.328,0.603,0.23,-66.5,2.393,242.4,0.035,,,,,,,,
12/16/2020 16:00,-7.209,0.647,0.231,-69.23,2.437,242.4,0.035,,,,,,,,
12/16/2020 17:00,-7.263,0.609,0.216,-76.35,2.805,250.2,0.035,,,,,,,,
12/16/2020 18:00,-7.465,0.643,0.225,-81.1,2.013,224.7,0.035,,,,,,,,
12/16/2020 19:00,-7.595,0.649,0.224,-80.7,1.664,219.8,0.035,,,,,,,,
12/16/2020 20:00,-7.606,0.644,0.222,-82.8,1.761,214.8,0.035,,,,,,,,
