DateTime,Ts_C,VWC_5 ,VWC_20 ,VWC_50 ,Rn_Wm2 ,u_ms,udir,Depth_m,Ta_C,RH,Rs_in,Rs_out,Rl_in,Rl_out,Rs_net,Rl_net,albedo,Rn
12/16/2020 13:00,-0.5795193,0.07420915,0.05951321,0.07126694,-7.808822,0.02931034,,,,,,,,,,,,
12/16/2020 14:00,-0.5300342,0.07454084,0.0594421,0.07128146,-22.81181,0.776458,,NAN,NAN,71.98,NAN,27.6,237.6,251,NAN,-12.74,NAN,NAN
12/16/2020 15:00,-0.4860409,0.07483913,0.05937681,0.07130907,-37.47725,0.3260417,,0.017,-4.256,61.77,19.81,29.47,273.7,297.7,-9.65,-22.56,1.49,-32.21
12/16/2020 16:00,-0.4545424,0.07516714,0.05934726,0.0713397,-63.35347,0.7092358,,0.006,-3.982,57.91,8.03,12.69,249.7,291.8,-4.651,-40.81,1.6,-45.46
12/16/2020 17:00,-0.4326372,0.07546006,0.0593251,0.07137883,-40.34628,0.9747223,,0.016,-4.525,68.76,0.824,1.455,278.9,292.8,-0.626,-13.56,-0.233,-14.19
12/16/2020 18:00,-0.4155453,0.07575057,0.05932178,0.07139076,-37.86158,0.5266666,,0.02,-5.011,68.51,-0.39,-0.043,254.2,287.9,-0.351,-34.5,0.063,-34.85
12/16/2020 19:00,-0.4025624,0.07597511,0.05934656,0.07144387,-52.72433,0.3240276,,0.019,-6.67,74.77,-0.588,0.012,218,277.1,-0.59,-59.92,-0.054,-60.51
12/16/2020 20:00,-0.4055218,0.07618357,0.05935948,0.07155657,-61.11009,1.21743,,0.023,-6.079,60.68,-0.612,0.264,209.9,277.4,-0.867,-68.23,-0.605,-69.1
12/16/2020 21:00,-0.4249718,0.07629125,0.05937153,0.07160532,-61.84922,1.368472,,0.023,-6.789,66.77,-0.662,0.076,208,274.9,-0.709,-68.15,-0.332,-68.86
12/16/2020 22:00,-0.4531591,0.07626546,0.05931652,0.07165796,-58.35549,1.473819,,0.022,-7.931,72.8,-0.6,0.082,208.3,272.4,-0.67,-65.3,-2.018,-65.97
12/16/2020 23:00,-0.4889859,0.07617366,0.05933163,0.07176174,-55.99448,1.398611,,0.022,-8.13,73.92,-0.59,0.203,207,271.3,-0.784,-65.55,0.684,-66.33
12/17/2020 0:00,-0.5342044,0.07601115,0.05933576,0.07180139,-59.94388,1.591875,,0.023,-7.212,71.46,-0.603,0.089,209.6,273.5,-0.691,-65.31,-0.659,-66
12/17/2020 1:00,-0.5808168,0.07574601,0.05931838,0.07185718,-58.64319,1.557917,,0.025,-7.642,68.35,-0.605,0.146,208.1,272.6,-0.764,-65.75,-1.411,-66.51
12/17/2020 2:00,-0.628974,0.07545281,0.05932379,0.071884,-56.41306,1.449861,,0.027,-6.915,62.79,-0.599,0.211,207.7,273.9,-0.81,-67.33,1.038,-68.14
12/17/2020 3:00,-0.6702437,0.07507019,0.05936294,0.0718891,-55.80106,1.753959,,0.027,-9.03,70.75,-0.593,0.236,205.3,268.7,-0.781,-65.25,-0.669,-66.03
12/17/2020 4:00,-0.7183672,0.07474955,0.05937525,0.07198114,-61.70606,1.709236,,0.034,-6.315,68.39,-0.599,0.224,209.8,275.4,-0.812,-66.16,-2.065,-66.97
12/17/2020 5:00,-0.760976,0.07436416,0.05936882,0.0720237,-54.78381,1.802292,,0.033,-7.716,63.1,-0.532,0.174,212.8,272.9,-0.721,-61.33,-0.492,-62.06
12/17/2020 6:00,-0.8050885,0.07401831,0.05937173,0.07208734,-46.91053,2.122498,,0.035,-5.483,50.68,-0.446,0.358,229.7,280,-0.824,-50.88,-1.053,-51.7
12/17/2020 7:00,-0.8452688,0.07363727,0.05940904,0.07215872,-51.46607,2.024653,,0.036,-3.402,40.25,-0.502,0.246,228.8,284.5,-0.707,-55.23,-0.351,-55.93
12/17/2020 8:00,-0.8660418,0.07326566,0.05945583,0.07218904,-51.19229,1.515139,,0.036,-3.181,50.46,2.124,3.53,218.4,283.8,-1.396,-63.91,4.932,-65.31
